neighbourhood_cleansed,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bathrooms_shared,logprice
I Centro Storico,12.47027,Entire rental unit,Entire home/apt,5,1.0,2.0,5.0,False,5.342334251964811
XII Monte Verde,12.4717,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.5217885770490405
I Centro Storico,12.50017,Entire rental unit,Entire home/apt,9,2.0,3.0,5.0,False,5.749392985908253
I Centro Storico,12.5003,Entire rental unit,Entire home/apt,9,2.0,3.0,7.0,False,6.045005314036011
I Centro Storico,12.47032,Entire rental unit,Entire home/apt,3,1.5,1.0,4.0,False,4.867534450455582
II Parioli/Nomentano,12.50476,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.820281565605037
I Centro Storico,12.49257,Private room in rental unit,Private room,3,1.0,1.0,1.0,False,4.820281565605037
I Centro Storico,12.48014,Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,False,6.13122648948314
I Centro Storico,12.47182,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.499809670330265
XI Arvalia/Portuense,12.46915,Private room in bed and breakfast,Private room,2,1.5,1.0,1.0,False,4.653960350157523
I Centro Storico,12.46664,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.77912349311153
XI Arvalia/Portuense,12.46717,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,False,4.2484952420493585
I Centro Storico,12.44701,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,False,4.770684624465664
IX Eur,12.47878,Private room in guesthouse,Private room,2,1.0,1.0,1.0,False,6.102558594613568
IX Eur,12.49729,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,False,4.663439094112067
I Centro Storico,12.4683369,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,False,5.093750200806762
II Parioli/Nomentano,12.51555,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.59511985013459
I Centro Storico,12.50676,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,4.653960350157523
I Centro Storico,12.4917637,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.214935757608986
IX Eur,12.49729,Entire rental unit,Entire home/apt,5,1.0,3.0,4.0,False,4.672828834461906
I Centro Storico,12.48534,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,4.897839799950911
XIII Aurelia,12.44978,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.812184355372417
IX Eur,12.47845,Private room in guesthouse,Private room,2,1.0,1.0,1.0,False,6.107022887742254
II Parioli/Nomentano,12.48617,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,False,5.616771097666571
I Centro Storico,12.47764492034912,Entire vacation home,Entire home/apt,3,1.0,1.0,3.0,False,5.236441962829949
XV Cassia/Flaminia,12.44008,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.31748811353631
I Centro Storico,12.46953,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,False,5.438079308923196
I Centro Storico,12.48881,Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,False,5.0106352940962555
I Centro Storico,12.4734,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.0106352940962555
I Centro Storico,12.4693,Entire condo,Entire home/apt,3,1.0,1.0,2.0,False,5.25227342804663
VII San Giovanni/Cinecittà,12.55147,Private room in rental unit,Private room,2,2.0,1.0,1.0,False,4.31748811353631
XII Monte Verde,12.4505,Private room in rental unit,Private room,1,1.0,1.0,2.0,True,3.6888794541139363
I Centro Storico,12.46672,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.762173934797756
XII Monte Verde,12.4685545,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,False,5.153291594497778
I Centro Storico,12.46934,Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,False,5.2094861528414205
I Centro Storico,12.493643,Entire condo,Entire home/apt,7,3.0,3.0,4.0,False,5.433722003554239
I Centro Storico,12.47844,Entire condo,Entire home/apt,5,2.0,2.0,3.0,False,5.176149732573829
I Centro Storico,12.49843,Entire condo,Entire home/apt,9,2.0,3.0,3.0,False,5.298317366548036
I Centro Storico,12.493643,Private room in condo,Private room,2,1.0,2.0,1.0,False,4.48863636973214
II Parioli/Nomentano,12.50305,Private room in rental unit,Private room,2,1.0,1.0,2.0,False,4.736198448394496
XII Monte Verde,12.46085,Entire home,Entire home/apt,5,1.0,2.0,5.0,False,4.6913478822291435
II Parioli/Nomentano,12.51123,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,False,4.0943445622221
VII San Giovanni/Cinecittà,12.52138,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.727387818712341
I Centro Storico,12.493643,Private room in condo,Private room,3,1.0,2.0,2.0,False,4.6913478822291435
I Centro Storico,12.493643,Private room in condo,Private room,2,1.0,2.0,1.0,False,4.59511985013459
I Centro Storico,12.49061,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,5.181783550292085
II Parioli/Nomentano,12.51402,Private room in rental unit,Private room,2,0.5,1.0,2.0,False,4.174387269895637
II Parioli/Nomentano,12.47091,Private room in bed and breakfast,Private room,3,1.0,1.0,1.0,True,4.787491742782046
V Prenestino/Centocelle,12.52495,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.2484952420493585
XIII Aurelia,12.43895,Room in serviced apartment,Hotel room,12,4.0,4.0,9.0,True,5.700443573390686
II Parioli/Nomentano,12.523479461669922,Room in bed and breakfast,Hotel room,2,1.0,1.0,2.0,False,4.382026634673881
VIII Appia Antica,12.48911,Private room in condo,Private room,2,1.0,1.0,1.0,True,4.0943445622221
II Parioli/Nomentano,12.523043632507324,Room in bed and breakfast,Hotel room,2,1.0,1.0,2.0,False,4.51085950651685
XI Arvalia/Portuense,12.46275,Entire condo,Entire home/apt,4,1.0,1.0,2.0,False,4.51085950651685
I Centro Storico,12.46727,Entire rental unit,Entire home/apt,3,1.0,1.0,0.0,False,4.382026634673881
XV Cassia/Flaminia,12.43916,Private room in bed and breakfast,Private room,4,1.0,1.0,2.0,False,4.382026634673881
I Centro Storico,12.47688,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,False,5.062595033026967
I Centro Storico,12.49798,Private room in rental unit,Private room,4,1.0,1.0,3.0,False,4.605170185988091
II Parioli/Nomentano,12.523479461669922,Room in bed and breakfast,Hotel room,3,1.0,1.0,1.0,False,4.454347296253507
I Centro Storico,12.492389,Entire vacation home,Entire home/apt,5,1.0,1.0,3.0,False,5.19295685089021
VII San Giovanni/Cinecittà,12.50631,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,3.5553480614894135
